íÜâõ ó¿ÇπÇ¢,íÜâõ ó¿ïù,íÜâõ ÉEÉFÉuå˙,íÜâõ ÉtÉâÉìÉWå˙,íÜâõ ÉtÉâÉìÉW É}ÉeÉäÉAÉã,åpéË_F_TYPE,åpéË_F_S1_t,åpéË_F_S1_B,åpéË_F_S1_L,åpéË_F_S2_t,åpéË_F_S2_Bs,åpéË_F_S2_L,åpéË_F_É{ÉãÉgêî,åpéË_F_É{ÉãÉgåa,åpéË_F_g1,åpéË_F_g2,åpéË_F_e1,åpéË_F_P,åpéË_F_Pt,åpéË_F_e,åpéË_W_TYPE,åpéË_W_t,åpéË_W_W,åpéË_W_D,åpéË_W_É{ÉãÉgêî,åpéË_W_É{ÉãÉgåa,åpéË_W_Pc,åpéË_W_e,åpéË_W_P2,åpéË_W_e2,îıçl
148,100,6,9,SS400,F1,12,100,410,0,0,0,6,M16,56,0,22,60,0,40,W3,6,410,80,3,M16,0,40,60,40,
194,150,6,9,SS400,F1,9,150,410,9,60,410,6,M16,90,0,30,60,0,40,W2,6,350,140,4,M16,60,40,60,40,ì‡ë§ÇÃe2ÇÕ70mmÇ∆Ç∑ÇÈ
198,99,4.5,7,SS400,F1,12,100,410,0,0,0,6,M16,55,0,22,60,0,40,W2,6,290,140,4,M16,60,40,60,40,
200,100,5.5,8,SS400,F1,12,100,410,0,0,0,6,M16,56,0,22,60,0,40,W2,6,290,140,4,M16,60,40,60,40,
244,175,7,11,SS400,F1,9,175,290,9,70,290,4,M20,105,0,35,60,0,40,W2,9,290,140,4,M20,60,40,60,40,
248,124,5,8,SS400,F1,12,125,530,0,0,0,8,M16,75,0,24.5,60,0,40,W2,6,290,170,4,M16,90,40,60,40,
250,125,6,9,SS400,F1,12,125,530,0,0,0,8,M16,75,0,25,60,0,40,W2,6,290,170,4,M16,90,40,60,40,
294,200,8,12,SS400,F1,9,200,410,9,80,410,6,M20,120,0,40,60,0,40,W2,6,290,200,4,M20,120,40,60,40,
298,149,5.5,8,SS400,F1,9,150,290,9,60,290,4,M16,90,0,29.5,60,0,40,W1,6,170,200,3,M16,60,40,0,40,
300,150,6.5,9,SS400,F1,9,150,410,9,60,410,6,M16,90,0,30,60,0,40,W2,6,290,200,6,M16,60,40,60,40,
340,250,9,14,SS400,F1,12,250,650,12,100,650,10,M20,150,0,50,60,0,40,W2,9,290,200,6,M20,60,40,60,40,
346,174,6,9,SS400,F1,9,175,290,9,70,290,4,M20,105,0,34.5,60,0,40,W1,6,170,260,3,M20,90,40,0,40,
350,175,7,11,SS400,F1,9,175,290,9,70,290,4,M20,105,0,35,60,0,40,W1,6,170,260,3,M20,90,40,0,40,
390,300,10,16,SS400,F2,12,300,530,12,110,530,10,M20,150,40,35,0,45,40,W2,9,290,260,6,M20,90,40,60,40,
396,199,7,11,SS400,F1,9,200,410,9,80,410,6,M20,120,0,39.5,60,0,40,W1,6,170,260,4,M20,60,40,0,40,
400,200,8,13,SS400,F1,9,200,410,9,80,410,6,M20,120,0,40,60,0,40,W2,9,290,260,6,M20,90,40,60,40,
440,300,11,18,SS400,F2,12,300,620,12,110,620,12,M20,150,40,35,0,45,40,W2,9,290,320,10,M20,60,40,60,40,
446,199,8,12,SS400,F1,9,200,530,12,80,530,8,M20,120,0,39.5,60,0,40,W1,9,170,320,5,M20,60,40,0,40,
450,200,9,14,SS400,F1,12,200,530,12,80,530,8,M20,120,0,40,60,0,40,W2,9,290,320,6,M20,120,40,60,40,
482,300,11,15,SS400,F2,9,300,530,12,110,530,10,M20,150,40,35,0,45,40,W2,9,290,350,8,M20,90,40,60,40,
488,300,11,18,SS400,F2,12,300,620,12,110,620,12,M20,150,40,35,0,45,40,W2,12,290,350,8,M20,90,40,60,40,
496,199,9,14,SS400,F1,9,200,530,12,80,530,8,M20,120,0,39.5,60,0,40,W1,9,170,380,6,M20,60,40,0,40,
500,200,10,16,SS400,F1,12,200,530,12,80,530,8,M20,120,0,40,60,0,40,W1,9,170,380,6,M20,60,40,0,40,
506,201,11,19,SS400,F1,12,200,530,16,80,530,8,M20,120,0,40.5,60,0,40,W2,9,290,350,8,M20,90,40,60,40,
582,300,12,17,SS400,F2,12,300,530,16,110,530,10,M22,150,40,35,0,45,40,W2,9,290,440,8,M22,120,40,60,40,
588,300,12,20,SS400,F2,12,300,530,16,110,530,10,M22,150,40,35,0,45,40,W2,9,290,440,10,M22,90,40,60,40,
594,302,14,23,SS400,F2,16,300,620,19,110,620,12,M22,150,40,36,0,45,40,W2,12,290,440,10,M22,90,40,60,40,
596,199,10,15,SS400,F1,12,200,530,12,80,530,8,M20,120,0,39.5,60,0,40,W2,9,290,380,12,M20,60,40,60,40,
600,200,11,17,SS400,F1,12,200,530,12,80,530,8,M20,120,0,40,60,0,40,W2,12,290,380,12,M20,60,40,60,40,
606,201,12,20,SS400,F1,16,200,650,16,80,650,10,M20,120,0,40.5,60,0,40,W2,12,290,380,12,M20,60,40,60,40,
692,300,13,20,SS400,F2,16,300,710,19,110,710,14,M22,150,40,35,0,45,40,W2,9,290,530,12,M22,90,40,60,40,
700,300,13,24,SS400,F2,19,300,710,19,110,710,14,M22,150,40,35,0,45,40,W2,12,290,530,12,M22,90,40,60,40,
792,300,14,22,SS400,F2,16,300,710,16,110,710,14,M22,150,40,35,0,45,40,W2,12,290,620,14,M22,90,40,60,40,
800,300,14,26,SS400,F2,19,300,710,19,110,710,14,M22,150,40,35,0,45,40,W2,12,290,620,14,M22,90,40,60,40,
890,299,15,23,SS400,F2,16,300,710,19,110,710,14,M22,150,40,34.5,0,45,40,W2,16,290,620,20,M22,60,40,60,40,
900,300,16,28,SS400,F2,19,300,800,22,110,800,16,M22,150,40,35,0,45,40,W2,16,290,620,20,M22,60,40,60,40,
912,302,18,34,SS400,F2,25,300,890,25,110,890,18,M22,150,40,36,0,45,40,W2,16,290,680,22,M22,60,40,60,40,
918,303,19,37,SS400,F2,25,300,980,28,110,980,20,M22,150,40,36.5,0,45,40,W2,16,290,680,22,M22,60,40,60,40,
